,,,ìåãû,ìåãû,ìåãû
îN,åé,ì˙,ïΩãœãCâ∑(Åé),ç~êÖó (mm),ç~êÖÇ»Çµ
2020,1,1,5.5,0,1
2020,1,2,6.2,0,1
2020,1,3,6.1,0,1
2020,1,4,7.2,0.0,0
2020,1,5,5.4,1.0,0
2020,1,6,7.5,0,1
2020,1,7,5.7,2.0,0
2020,1,8,5.2,11.5,0
2020,1,9,10.6,0.0,0
2020,1,10,8.4,0.0,0
2020,1,11,7.0,0,1
2020,1,12,6.7,0.0,0
2020,1,13,8.5,0,1
2020,1,14,8.4,0,1
2020,1,15,6.8,15.0,0
2020,1,16,6.7,0,1
2020,1,17,7.3,0.0,0
2020,1,18,3.8,8.5,0
2020,1,19,6.5,0.0,0
2020,1,20,7.5,0,1
2020,1,21,7.4,0,1
2020,1,22,4.9,0.0,0
2020,1,23,6.1,2.5,0
2020,1,24,9.9,0,1
2020,1,25,7.8,0,1
2020,1,26,5.0,6.0,0
2020,1,27,5.1,5.0,0
2020,1,28,4.4,55.5,0
2020,1,29,11.8,28.0,0
2020,1,30,11.7,0,1
2020,1,31,8.1,0,1
2020,2,1,7.9,0,1
2020,2,2,8.7,0,1
2020,2,3,9.3,0.0,0
2020,2,4,7.9,0.0,0
2020,2,5,7.6,0,1
2020,2,6,2.9,0,1
2020,2,7,2.4,0,1
2020,2,8,6.2,0.0,0
2020,2,9,3.9,0,1
2020,2,10,4.6,0,1
2020,2,11,6.3,0,1
2020,2,12,8.7,0.0,0
2020,2,13,11.7,0.0,0
2020,2,14,12.0,0.0,0
2020,2,15,12.4,0,1
2020,2,16,9.3,8.5,0
2020,2,17,10.3,0.0,0
2020,2,18,7.6,0.0,0
2020,2,19,8.1,0,1
2020,2,20,9.0,0.0,0
2020,2,21,10.0,0,1
2020,2,22,12.5,2.5,0
2020,2,23,10.4,0,1
2020,2,24,9.8,0,1
2020,2,25,10.5,0.0,0
2020,2,26,8.1,3.0,0
2020,2,27,7.0,0.0,0
2020,2,28,7.0,0,1
2020,2,29,9.4,1.0,0
2020,3,1,12.0,0.5,0
2020,3,2,7.3,10.0,0
2020,3,3,11.3,0.0,0
2020,3,4,8.9,1.5,0
2020,3,5,9.2,1.0,0
2020,3,6,9.4,0,1
2020,3,7,7.3,1.5,0
2020,3,8,7.2,6.0,0
2020,3,9,13.1,0.0,0
2020,3,10,14.7,24.5,0
2020,3,11,15.3,0.0,0
2020,3,12,11.4,0,1
2020,3,13,12.5,0,1
2020,3,14,5.5,25.0,0
2020,3,15,7.1,0,1
2020,3,16,7.1,0,1
2020,3,17,7.7,0,1
2020,3,18,11.9,0.0,0
2020,3,19,14.6,1.0,0
2020,3,20,14.5,0.0,0
2020,3,21,13.8,0,1
2020,3,22,16.8,0,1
2020,3,23,10.3,0.0,0
2020,3,24,8.2,0.0,0
2020,3,25,10.0,0,1
2020,3,26,13.0,0,1
2020,3,27,16.2,0.0,0
2020,3,28,15.5,8.5,0
2020,3,29,3.6,51.5,0
2020,3,30,7.6,0,1
2020,3,31,9.8,0.0,0
2020,4,1,11.4,31.0,0
2020,4,2,13.9,0.0,0
2020,4,3,12.8,0,1
2020,4,4,15.7,0,1
2020,4,5,10.2,0.0,0
2020,4,6,12.1,0,1
2020,4,7,12.4,0,1
2020,4,8,14.3,0,1
2020,4,9,13.3,0.5,0
2020,4,10,11.2,0,1
2020,4,11,11.4,0.5,0
2020,4,12,10.3,6.5,0
2020,4,13,8.0,132.0,0
2020,4,14,10.9,1.5,0
2020,4,15,13.8,0,1
